,gpt4 0.5,,,gpt4 0.7,,,gpt4o 0.5,,,gpt4o 0.7,
labels,RLP,MLP,,RLP,MLP,,RLP,MLP,,RLP,MLP
All or Nothing Thinking,0.656,0.78,,0.6,0.724,,0.479,0.619,,0.399,0.546
Emotional Reasoning,0.807,0.836,,0.764,0.789,,0.56,0.491,,0.441,0.425
Fortune Telling,0.797,0.835,,0.731,0.776,,0.593,0.645,,0.495,0.579
Labeling,0.873,0.756,,0.812,0.715,,0.657,0.64,,0.561,0.547
Magnification (Catastrophizing),0.816,0.783,,0.747,0.721,,0.631,0.664,,0.525,0.59
Mental Filter,0.458,0.554,,0.42,0.401,,0.401,0.263,,0.163,0.135
Mind Reading,0.841,0.787,,0.795,0.732,,0.727,0.678,,0.618,0.591
No Distortion,0.929,0.923,,0.905,0.898,,0.916,0.888,,0.904,0.86
Others,0.817,0.708,,0.768,0.596,,,0.125,,0,0.25
Overgeneralization,0.734,0.74,,0.682,0.651,,0.583,0.615,,0.476,0.509
Personalization,0.81,0.813,,0.763,0.766,,0.636,0.632,,0.539,0.538
Should Statements,0.819,0.735,,0.777,0.682,,0.747,0.691,,0.633,0.592
,,,,,,,,,,,
Average all,0.78,0.771,,0.73,0.704,,,0.579,,0.479,0.514
Average 11 labels,0.776,0.776,,0.727,0.714,,0.63,0.621,,0.523,0.538
